ID,City,Place,Type,Best Time,Entry Fee
49,Mumbai,Taraporewala Aquarium,Aquarium,All Year,60
50,Mumbai,Film City,Film Studio,All Year,650
51,Mumbai,Powai Lake,Lake,All Year,0
52,Mumbai,Mahalaxmi Temple,Temple,All Year,0
53,Mumbai,Mount Mary Church,Church,All Year,0
54,Mumbai,Flora Fountain,Fountain,All Year,0
55,Mumbai,Mani Bhavan,Museum,All Year,20
56,Mumbai,EsselWorld,Amusement Park,All Year,1200
57,Mumbai,Water Kingdom,Water Park,All Year,1200
58,Mumbai,Versova Beach,Beach,Oct-Mar,0
59,Mumbai,Aksa Beach,Beach,Oct-Mar,0
60,Mumbai,Worli Sea Face,Seafront,Oct-Mar,0
61,Mumbai,ISKCON Temple,Temple,All Year,0
62,Mumbai,Snow World,Indoor Park,All Year,600
63,Mumbai,Crawford Market,Market,All Year,0
64,Mumbai,Rajabai Clock Tower,Heritage Site,All Year,0
65,Mumbai,Banganga Tank,Historic Site,All Year,0
66,Mumbai,Sewri Fort,Fort,Oct-Mar,0
67,Mumbai,Madh Island,Island,Oct-Mar,0
68,Delhi,India Gate,Memorial,Oct-Mar,0
69,Delhi,Red Fort,Fort,Oct-Mar,35
70,Delhi,Qutub Minar,Monument,Oct-Mar,35
71,Delhi,Humayun's Tomb,Tomb,Oct-Mar,35
72,Delhi,Lotus Temple,Temple,All Year,0
73,Delhi,Akshardham Temple,Temple,All Year,0
74,Delhi,Jama Masjid,Mosque,All Year,0
75,Delhi,Rashtrapati Bhavan,Government Building,Oct-Mar,50
76,Delhi,Chandni Chowk,Market,All Year,0
77,Delhi,Lodhi Garden,Park,All Year,0
78,Delhi,Raj Ghat,Memorial,All Year,0
79,Delhi,National Museum,Museum,All Year,20
80,Delhi,Connaught Place,Commercial Area,All Year,0
81,Delhi,Garden of Five Senses,Park,Oct-Mar,35
82,Delhi,Purana Qila,Fort,Oct-Mar,30
83,Delhi,Agrasen ki Baoli,Stepwell,All Year,0
84,Delhi,Safdarjung Tomb,Tomb,Oct-Mar,25
85,Delhi,National Rail Museum,Museum,All Year,50
86,Delhi,Nehru Planetarium,Planetarium,All Year,60
87,Delhi,Hauz Khas Village,Historic Area,All Year,0
88,Delhi,Dilli Haat,Market,All Year,30
89,Delhi,Kingdom of Dreams,Entertainment Complex,All Year,1500
90,Delhi,Tughlaqabad Fort,Fort,Oct-Mar,25
91,Delhi,National Zoological Park,Zoo,Oct-Mar,40
92,Delhi,ISKCON Temple Delhi,Temple,All Year,0
93,Delhi,Birla Mandir,Temple,All Year,0
94,Delhi,Jantar Mantar,Observatory,Oct-Mar,25
95,Delhi,Mehrauli Archaeological Park,Archaeological Park,Oct-Mar,0
96,Delhi,Waste to Wonder Park,Theme Park,All Year,50
97,Delhi,National Gallery of Modern Art,Museum,All Year,20
98,Delhi,Shankar Dolls Museum,Museum,All Year,15
99,Delhi,Adventure Island,Amusement Park,All Year,1000
100,Delhi,Worlds of Wonder,Amusement Park,All Year,1200
